Año;Código;Universidad;Rama;Grado en;Centro;Nota general;Titulados;Mayor 25;Mayor 40;Mayor 45
2013 ;221702;CÁDIZ;IYA;INGENIERÍA AEROESPACIAL ;ESCUELA SUPERIOR DE INGENIERÍA;10,133;8,900;6,317 -OPR AN;5,000;5,000
2013 ;222501;CÁDIZ;IYA;INGENIERÍA CIVIL CONSTRUCCIONES CIVILESHIDROLOGÍATRANSPORTES Y SERVICIOS URBANOS;ESCUELA POLITÉCNICA SUPERIOR (ALGECIRAS);5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;211200;CÁDIZ;IYA;INGENIERÍA EN DIS. INDUS. Y DESARROLLO DEL PRODUCTO ;ESCUELA SUPERIOR DE INGENIERÍA;5,500;5,000;5,000 -ONP NA;5,000;5,000
2013 ;223013;CÁDIZ;IYA;INGENIERÍA EN TECNOLOGÍAS INDUSTRIALES ;ESCUELA POLITÉCNICA SUPERIOR (ALGECIRAS);5,000;6,010;5,000 -ONP NA;5,000;5,000
2013 ;223009;CÁDIZ;IYA;INGENIERÍA EN TECNOLOGÍAS INDUSTRIALES ;ESCUELA SUPERIOR DE INGENIERÍA;5,628;6,430;5,000 -ONP NA;5,000;5,000
2013 ;223505;CÁDIZ;IYA;INGENIERÍA INFORMÁTICA COMPUTACIÓNINGENIERÍA DE COMPUTADORESINGENIERÍA DEL SOFTWARESISTEMAS DE INFORMACIÓNTECNOLOGÍAS DE LA INFORMACIÓN;ESCUELA SUPERIOR DE INGENIERÍA;5,955;5,000;5,000 -ONP NA;5,000;5,000
2013 ;293007;CÁDIZ;IYA;INGENIERÍA MARINA ;ESCUELA DE INGENIERÍAS MARINA, NAÚTICA Y RADIOELÉCTRICA;5,000;5,000;6,170 -ONP AN;5,000;5,000
2013 ;293503;CÁDIZ;IYA;INGENIERÍA NÁUTICA Y TRANSPORTE MARÍTIMO ;ESCUELA DE INGENIERÍAS MARINA, NAÚTICA Y RADIOELÉCTRICA;5,000;7,870;5,350 -OPR AN;5,000;5,000
2013 ;224509;CÁDIZ;IYA;INGENIERÍA QUÍMICA QUIMICA INDUSTRIAL;FACULTAD DE CIENCIAS;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;294507;CÁDIZ;IYA;INGENIERÍA RADIOELECTRÓNICA ;ESCUELA DE INGENIERÍAS MARINA, NAÚTICA Y RADIOELÉCTRICA;5,000;5,830;5,000 -ONP NA;5,000;5,000
2013 ;295104;CÁDIZ;AYH;LINGÜÍS. Y LENGUAS APLIC.+ESTUDIOS INGLESES ;FACULTAD DE FILOSOFÍA Y LETRAS;9,553;5,000;7,390 -OPR AN;5,000;5,000
2013 ;295004;CÁDIZ;AYH;LINGÜÍSTICA Y LENGUAS APLICADAS ;FACULTAD DE FILOSOFÍA Y LETRAS;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;249109;CÁDIZ;SYJ;MARKETING E INVESTIG. DE MERCADOS+TURISMO ;FACULTAD DE CIENCIAS SOCIALES Y DE LA COMUNICACIÓN (JEREZ);7,070;5,000;5,000 -ONP NA;5,000;5,000
2013 ;249001;CÁDIZ;SYJ;MARKETING E INVESTIGACIÓN DE MERCADOS ;FACULTAD DE CIENCIAS SOCIALES Y DE LA COMUNICACIÓN (JEREZ);5,000;5,000;5,342 -ONP AN;5,000;5,000
2013 ;239006;CÁDIZ;C;MATEMÁTICAS ;FACULTAD DE CIENCIAS;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;239502;CÁDIZ;SD;MEDICINA ;FACULTAD DE MEDICINA;12,056;9,050;7,265 -OPR AN;5,000;5,000
2013 ;241509;CÁDIZ;SD;PSICOLOGÍA ;FACULTAD DE CIENCIAS DE LA EDUCACIÓN;8,074;8,630;6,959 -OPR AN;5,000;5,000
2013 ;242200;CÁDIZ;SYJ;PUBL. Y REL. PÚBLICAS+MARKETING E INV. MER ;FACULTAD DE CIENCIAS SOCIALES Y DE LA COMUNICACIÓN (JEREZ);9,628;6,490;5,000 -OPR AN;5,000;5,000
2013 ;242006;CÁDIZ;SYJ;PUBLICIDAD Y RELACIONES PÚBLICAS ;FACULTAD DE CIENCIAS SOCIALES Y DE LA COMUNICACIÓN (JEREZ);7,541;5,880;5,042 -OPR AN;5,000;5,000
2013 ;242103;CÁDIZ;SYJ;PUBLICIDAD Y RELACIONES PÚBLICAS+TURISMO ;FACULTAD DE CIENCIAS SOCIALES Y DE LA COMUNICACIÓN (JEREZ);8,477;7,340;5,233 -OPR AN;5,000;5,000
2013 ;242502;CÁDIZ;C;QUÍMICA ;FACULTAD DE CIENCIAS;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;242601;CÁDIZ;C;QUÍMICA + CC AMBIENTALES ;FACULTAD DE CIENCIAS;8,142;5,000;5,000 -ONP NA;5,000;5,000
2013 ;208006;CÁDIZ;SYJ;RELACIONES LABORALES Y RECURSOS HUMANOS ;FACULTAD DE CIENCIAS DEL TRABAJO;5,000;6,900;6,733 -OPR AN;5,000;5,000
